occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q3374326,muralist,artist whose work consists primarily of painting murals
http://www.wikidata.org/entity/Q10333969,museologist,specialist on museology
http://www.wikidata.org/entity/Q1643514,music arranger,musician who creates arrangements
http://www.wikidata.org/entity/Q3089940,music executive,person making executive decisions over artists of a record label
http://www.wikidata.org/entity/Q2340668,music video director,"person who directs the music artist, the actors and film crew in making music videos"
http://www.wikidata.org/entity/Q639669,musician,"person who composes, conducts or performs music"
http://www.wikidata.org/entity/Q6337803,neuroscientist,individual who studies neuroscience
http://www.wikidata.org/entity/Q7016454,new media artist,artist who primarily uses (new) media art in their work
http://www.wikidata.org/entity/Q270389,news presenter,person who presents news during a news program
http://www.wikidata.org/entity/Q22810659,nightclub owner,occupation
http://www.wikidata.org/entity/Q15980158,non-fiction writer,author who writes non-fiction texts
http://www.wikidata.org/entity/Q6625963,novelist,writer of novels
http://www.wikidata.org/entity/Q2576499,nutritionist,person who advises on matters of food and nutrition impacts on health
http://www.wikidata.org/entity/Q28054786,opera director,creative director in charge of staging an opera
http://www.wikidata.org/entity/Q6051619,opinion journalist,journalist who makes no claim of objectivity
http://www.wikidata.org/entity/Q12859263,orator,public speaker; for conference speaker use Q100742049
http://www.wikidata.org/entity/Q4479442,organizational founder,person who creates an institution intended to perpetuate itself after the founder's association ends
http://www.wikidata.org/entity/Q2447349,ornamentist,profession
http://www.wikidata.org/entity/Q12330954,owarai tarento,type of Japanese comedian
http://www.wikidata.org/entity/Q1028181,painter,artist who practices painting
http://www.wikidata.org/entity/Q15472169,patron of the arts,person who engages in patronage
http://www.wikidata.org/entity/Q230763,patternmaker,person who creates sewing patterns for clothing
http://www.wikidata.org/entity/Q16323111,peace activist,activist focused on avoiding war
http://www.wikidata.org/entity/Q1231865,pedagogue,person working in the academic field of pedagogy
http://www.wikidata.org/entity/Q10774753,performance artist,person who practices performance art (not to be confused with performing arts)
http://www.wikidata.org/entity/Q713200,performing artist,"artist who participates in performing arts in front of an audience: actors, comedians, dancers, magicians, circus artists, musicians, singers"
http://www.wikidata.org/entity/Q579021,perfumer,expert on creating perfume compositions
http://www.wikidata.org/entity/Q3610436,personal stylist,person who selects or recommends clothing and accessories for a client
http://www.wikidata.org/entity/Q12362622,philanthropist,person known for philanthropic work
http://www.wikidata.org/entity/Q33231,photographer,person who takes photographs
http://www.wikidata.org/entity/Q957729,photojournalist,journalism occupation
http://www.wikidata.org/entity/Q39631,physician,professional who practices medicine
http://www.wikidata.org/entity/Q486748,pianist,musician who plays the piano
http://www.wikidata.org/entity/Q98552221,plastic artist,practitioner of plastic arts
http://www.wikidata.org/entity/Q214917,playwright,person who writes plays
http://www.wikidata.org/entity/Q15077007,podcaster,person who creates podcasts
http://www.wikidata.org/entity/Q49757,poet,person who writes poetry
http://www.wikidata.org/entity/Q82955,politician,person involved in politics; person who holds or seeks positions in government
http://www.wikidata.org/entity/Q60723829,pop singer,singer who sings pop songs
http://www.wikidata.org/entity/Q488111,pornographic actor,person who performs sex acts in pornographic films
http://www.wikidata.org/entity/Q2180411,portrait painter,painter whose field of work is portrait painting
http://www.wikidata.org/entity/Q2000124,postage stamp designer,person who designs postage stamps
http://www.wikidata.org/entity/Q739437,poster artist,person who designs poster
http://www.wikidata.org/entity/Q3400050,potter,someone who makes pottery
http://www.wikidata.org/entity/Q432386,preacher,person who delivers sermons or gives homilies
http://www.wikidata.org/entity/Q13590141,presenter,"person who hosts an event; for television presenters, use Q947873"
http://www.wikidata.org/entity/Q108065006,pressman,profession; person who operates a printing press
http://www.wikidata.org/entity/Q175151,printer,person involved in manufacturing printed materials; operator of a printing press
http://www.wikidata.org/entity/Q11569986,printmaker,person who makes prints from plates or blocks
http://www.wikidata.org/entity/Q47541952,producer,media and entertainment occupation
http://www.wikidata.org/entity/Q18915967,product designer,
http://www.wikidata.org/entity/Q1415225,production coordinator,coordinates the various groups and personnel in a filmmaking or video production
http://www.wikidata.org/entity/Q2962070,production designer,person responsible for the overall look of a filmed event
http://www.wikidata.org/entity/Q121594,professor,academic title at universities and other education and research institutions
http://www.wikidata.org/entity/Q94498772,program host,job title; person who hosts a radio or television program
http://www.wikidata.org/entity/Q2548714,program maker,person who makes radio or television programs
http://www.wikidata.org/entity/Q816432,project manager,professional in the field of project management
http://www.wikidata.org/entity/Q1685363,propagandist,person who disseminates propaganda
http://www.wikidata.org/entity/Q212980,psychologist,"professional who evaluates, diagnoses, treats, and studies behavior and mental processes"
http://www.wikidata.org/entity/Q662729,public figure,famous person who is often written about in newspapers and magazines or is often on television or the radio
